seq_len,Pytorch,Triton
32.0,147.2,585.1
64.0,153.1,571.5
96.0,157.5,589.8
128.0,160.1,599.4
160.0,161.5,605.3
192.0,162.9,609.3
224.0,163.7,612.2
256.0,164.3,614.4
288.0,164.7,614.4
320.0,165.1,615.9
352.0,165.5,615.8
384.0,165.7,615.7
416.0,165.7,615.6
448.0,166.0,615.5
480.0,166.1,615.4
512.0,166.1,614.4
544.0,166.1,614.4
576.0,166.1,614.0
608.0,166.3,613.6
640.0,166.2,612.9
672.0,166.2,612.2
704.0,166.2,611.6
736.0,166.3,610.4
768.0,166.2,609.3
800.0,166.2,608.3
832.0,166.3,607.4
864.0,166.4,607.1
896.0,166.4,606.3
928.0,166.4,605.5
960.0,166.4,604.8
992.0,166.5,603.2
1024.0,166.5,602.6
1056.0,166.5,601.6
1088.0,166.6,600.3
1120.0,166.6,599.8
1152.0,166.6,599.0
1184.0,166.6,598.2
1216.0,166.6,596.7
1248.0,166.7,596.1
1280.0,166.7,595.1
1312.0,166.7,594.8
1344.0,166.7,594.2
1376.0,166.8,594.0
1408.0,166.7,593.5
1440.0,166.8,592.7
1472.0,166.8,592.5
1504.0,166.8,592.3
1536.0,166.8,592.0
1568.0,166.8,592.0
1600.0,166.9,591.3
1632.0,166.9,591.2
1664.0,166.8,591.4
1696.0,166.9,591.8
1728.0,166.9,591.1
1760.0,166.9,591.0
1792.0,166.9,590.9
1824.0,167.0,590.9
1856.0,166.9,591.2
1888.0,166.9,591.1
1920.0,167.0,591.0
1952.0,167.0,591.1
1984.0,166.9,590.8
2016.0,166.9,591.4
2048.0,167.1,591.3
